id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
7342328,https://www.mubawab.ma/fr/a/7342328/jolie-villa-3-niveaux-pleine-sud,N/A,5500000,N/A,villa,300,8,5,4,,20-30 ans,Non,Non,Non,Non,Non,Non,"Riyad à
							Rabat",success
7356522,https://www.mubawab.ma/fr/a/7356522/villa-commerciale-%C3%A0-vendre-%C3%A0-souissi-surface-de-2000-m%C2%B2-parking-et-jardin,N/A,N/A,N/A,villa,2000,7,4,4,,N/A,Oui,Non,Non,Oui,Oui,Non,"Souissi à
							Rabat",success
7363168,https://www.mubawab.ma/fr/a/7363168/villa-de-432m%C2%B2-4fa%C3%A7ades-hy-riad,N/A,5700000,N/A,villa,432,6,4,3,,N/A,Oui,Non,Non,Oui,Oui,Oui,"Riyad à
							Rabat",success
7365424,https://www.mubawab.ma/fr/a/7365424/villa-en-vente-ahayriad-de-765-m%C2%B2,N/A,8750000,N/A,villa,765,8,5,4,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7370698,https://www.mubawab.ma/fr/a/7370698/villa-de-luxe-%C3%A0-vendre-%C3%A0-hayriad-235-m%C2%B2-climatisation,N/A,N/A,N/A,villa,235,6,4,3,,N/A,Oui,Non,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
7371156,https://www.mubawab.ma/fr/a/7371156/villa-%C3%A0-vendre-hay-riad,N/A,N/A,N/A,villa,730,7,4,4,,N/A,Non,Oui,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7376838,https://www.mubawab.ma/fr/a/7376838/villas-de-3-facades-%C3%A0-cote-mosquee-zafati,N/A,14000000,N/A,villa,2011,11,6,5,,20-30 ans,Non,Non,Non,Non,Non,Non,"Souissi à
							Rabat",success
7384221,https://www.mubawab.ma/fr/a/7384221/%C3%A0-vendre-un-riad-%C3%A0-m%C3%A9dina,N/A,2600000,N/A,N/A,200,6,4,2,,20-30 ans,Non,Non,Non,Oui,Non,Non,"Médina à
							Rabat",success
7395059,https://www.mubawab.ma/fr/a/7395059/joli-appartement-basatin-el-menzeh,N/A,1400000,N/A,appartement,70,3,2,2,,N/A,Non,Non,Non,Oui,Oui,Oui,"Souissi à
							Rabat",success
7400830,https://www.mubawab.ma/fr/a/7400830/villa-exceptionnelle-a-cote-ambassade-usa,N/A,26000000,N/A,villa,2000,9,6,6,,5-10 ans,Non,Non,Non,Non,Non,Non,"Quartier Des Ambassades à
							Rabat",success
7403630,https://www.mubawab.ma/fr/a/7403630/a-vendre-%C3%A0-rabat-villa-refaite-%C3%A0-neuf-au-quartier,N/A,13000000,N/A,villa,550,7,4,3,,N/A,Oui,Oui,Non,Oui,Oui,Non,"Souissi à
							Rabat",success
7410972,https://www.mubawab.ma/fr/a/7410972/villa-bonne-affaire-au-secteur-18-hay-riad,N/A,6800000,N/A,villa,450,9,4,4,,5-10 ans,Oui,Oui,Non,Non,Non,Non,"Riyad à
							Rabat",success
7416581,https://www.mubawab.ma/fr/a/7416581/appartement-en-vente-4-chambre-salon-marocain,N/A,2450000,N/A,appartement,147,5,4,3,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7418392,https://www.mubawab.ma/fr/a/7418392/appartement-en-vente-prestigia,N/A,2650000,N/A,appartement,130,5,3,3,,N/A,Non,Non,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7448660,https://www.mubawab.ma/fr/a/7448660/appartement-%C3%A0-vendre-%C3%A0-hay-riad,N/A,2200000,N/A,appartement,N/A,4,3,2,,5-10 ans,Oui,Non,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7455060,https://www.mubawab.ma/fr/a/7455060/appartement-standing-a-vendre-a-l-orangeraie-souissi,N/A,5500000,N/A,appartement,290,5,3,3,,1-5 ans,Oui,Oui,Oui,Oui,Oui,Oui,"Souissi à
							Rabat",success
7461550,https://www.mubawab.ma/fr/a/7461550/appartement-duplex-pas-loin-du-tribunal,N/A,2550000,N/A,appartement,269,5,3,2,,10-20 ans,Oui,Non,Oui,Oui,Oui,Oui,"Diour Jamaa à
							Rabat",success
7480090,https://www.mubawab.ma/fr/a/7480090/bel-appartement-sans-vis-a-vis-sud-%C3%A0-mahaj-riad,N/A,3900000,N/A,appartement,210,7,4,3,,5-10 ans,Non,Non,Non,Non,Oui,Oui,"Riyad à
							Rabat",success
7492022,https://www.mubawab.ma/fr/a/7492022/joli-appartement-%C3%A0-vendre-%C3%A0-riyad-5-pi%C3%A8ces-chemin%C3%A9e,N/A,2880000,N/A,appartement,175,5,3,3,,N/A,Non,Non,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7499374,https://www.mubawab.ma/fr/a/7499374/villa-moderne-%C3%A0-vendre-situ%C3%A9e-%C3%A0-souissi-rabat,N/A,20000000,N/A,villa,1500,8,6,4,,5-10 ans,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7512929,https://www.mubawab.ma/fr/a/7512929/maison-d-h%C3%B4tes-autoris%C3%A9e-et-titr%C3%A9e,N/A,6000000,N/A,maison,540,10,7,7,,70-100 ans,Non,Non,Oui,Oui,Non,Non,"L'Ocean à
							Rabat",success
7520964,https://www.mubawab.ma/fr/a/7520964/appartement-%C3%A0-vendre-%C3%A0-hassan,N/A,3000000,N/A,appartement,145,5,3,2,,10-20 ans,Non,Non,Oui,Oui,Oui,Oui,"Hassan - Centre Ville à
							Rabat",success
7521024,https://www.mubawab.ma/fr/a/7521024/villa-%C3%A0-3mn-de-la-gare-rabat-ville,N/A,4600000,N/A,villa,289,8,6,4,,20-30 ans,Oui,Non,Non,Oui,Oui,Non,"Les Orangers à
							Rabat",success
7525521,https://www.mubawab.ma/fr/a/7525521/villa-standing-neuve-avec-piscine-a-vendre-soussi,N/A,15000000,N/A,villa,1200,8,5,5,,1-5 ans,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7531318,https://www.mubawab.ma/fr/a/7531318/villa-de-luxe-%C3%A0-vendre-490m%C2%B2,N/A,N/A,N/A,villa,490,6,4,4,,N/A,Oui,Non,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
7531347,https://www.mubawab.ma/fr/a/7531347/appartement-derri%C3%A8re-mahj-riad,N/A,N/A,N/A,appartement,106,4,2,2,,N/A,Oui,Non,Non,Oui,Oui,Oui,"Riyad à
							Rabat",success
7532983,https://www.mubawab.ma/fr/a/7532983/bel-appartement-hs-%C3%A0-vendre-%C3%A0-riyad-superficie-270-m%C2%B2-tout-confort-avec-chemin%C3%A9e-et-climatisation-vue-magnifique-sur-jardin,N/A,4500000,N/A,appartement,270,6,5,3,,5-10 ans,Oui,Non,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7540485,https://www.mubawab.ma/fr/a/7540485/appartement-en-vente-prestigia,N/A,N/A,N/A,appartement,126,4,3,3,,N/A,Non,Non,Oui,Non,Oui,Oui,"Riyad à
							Rabat",success
7554236,https://www.mubawab.ma/fr/a/7554236/villa-angle-commerciale-sur-av-attanoub,N/A,9000000,N/A,villa,480,3,5,3,,20-30 ans,Non,Oui,Non,Non,Non,Non,"Riyad à
							Rabat",success
7556443,https://www.mubawab.ma/fr/a/7556443/appartement-%C3%A0-vendre-hay-riad-rabat,N/A,N/A,N/A,appartement,220,5,3,3,,1-5 ans,Oui,Non,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7556451,https://www.mubawab.ma/fr/a/7556451/avenue-mohamed-el-yazidi-villa-500m%C2%B2,N/A,N/A,N/A,villa,500,6,5,3,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7559302,https://www.mubawab.ma/fr/a/7559302/bel-appartement-ensoleill%C3%A9-%C3%A0-cote-mahaj-ryad,N/A,4000000,N/A,appartement,200,7,4,4,,5-10 ans,Non,Non,Non,Oui,Oui,Oui,"Riyad à
							Rabat",success
7584748,https://www.mubawab.ma/fr/a/7584748/appartement-4-pi%C3%A8ces-%C3%A0-vendre-%C3%A0-l-agdal-ra,N/A,2900000,N/A,appartement,213,5,3,2,,N/A,Non,Non,Oui,Oui,Oui,Oui,"Agdal à
							Rabat",success
7587369,https://www.mubawab.ma/fr/a/7587369/ancienne-villa-%C3%A0-olm-souissi-rabat,N/A,11500000,N/A,villa,1035,7,5,2,,20-30 ans,Oui,Non,Non,Oui,Non,Oui,"Souissi à
							Rabat",success
7588423,https://www.mubawab.ma/fr/a/7588423/joli-appartement-%C3%A0-rabat-agdal,N/A,3000000,N/A,appartement,131,3,3,3,,5-10 ans,Non,Non,Non,Non,Oui,Oui,"Agdal à
							Rabat",success
7594405,https://www.mubawab.ma/fr/a/7594405/villa-pisicine-hay-ryad-secteur-7,N/A,9900000,N/A,villa,875,N/A,4,3,,N/A,Oui,Oui,Non,Non,Non,Non,Rabat,success
7597964,https://www.mubawab.ma/fr/a/7597964/vente-d-un-bel-appartement-%C3%A0-souissi-superficie-112-m%C2%B2,N/A,N/A,N/A,appartement,112,N/A,2,2,,N/A,Non,Oui,Non,Non,Non,Oui,"Souissi à
							Rabat",success
7603153,https://www.mubawab.ma/fr/a/7603153/vend-appartement-%C3%A0-haut-agdal-pres-lycee-descartes-et-for%C3%AAt-hilton-superficie-171-m%C2%B2,N/A,3200000,N/A,appartement,171,6,2,3,,20-30 ans,Non,Non,Oui,Non,Oui,Oui,"Haut Agdal à
							Rabat",success
7606684,https://www.mubawab.ma/fr/a/7606684/appartement-%C3%A0-vendre-%C3%A0-jnane-souissi,N/A,4000000,N/A,appartement,248,5,3,3,,10-20 ans,Oui,Non,Oui,Non,Oui,Non,"Souissi à
							Rabat",success
7611930,https://www.mubawab.ma/fr/a/7611930/appartement-%C3%A0-vendre-%C3%A0-hassan,N/A,2700000,N/A,appartement,112,4,3,2,,N/A,Non,Non,Oui,Non,Oui,Oui,"Hassan - Centre Ville à
							Rabat",success
7612278,https://www.mubawab.ma/fr/a/7612278/vente-villa-rabat-souissi,N/A,6975000,N/A,villa,500,10,4,3,,N/A,Oui,Non,Oui,Non,Oui,Non,"Souissi à
							Rabat",success
7614520,https://www.mubawab.ma/fr/a/7614520/villa-neuve-%C3%A0-souissi,N/A,30000000,N/A,villa,2450,9,6,7,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Oui,"Souissi à
							Rabat",success
7614699,https://www.mubawab.ma/fr/a/7614699/vente-villa-comme-un-petit-palais-%C3%A0-souissi,N/A,25000000,N/A,villa,2000,4,9,6,,5-10 ans,Non,Oui,Non,Non,Oui,Non,"Souissi à
							Rabat",success
7622762,https://www.mubawab.ma/fr/a/7622762/villa-%C3%A0-vendre-a-souissi,N/A,12000000,N/A,villa,2000,3,5,4,,20-30 ans,Oui,Non,Non,Non,Non,Non,"Souissi à
							Rabat",success
7623326,https://www.mubawab.ma/fr/a/7623326/villa-neuve-%C3%A0-souissi-avec-un-grand-jardin,N/A,35000000,N/A,villa,2200,9,6,5,,1-5 ans,Non,Oui,Non,Non,Non,Non,"Souissi à
							Rabat",success
7625902,https://www.mubawab.ma/fr/a/7625902/tr%C3%A8s-jolie-maison-neuve-front-de-mer,N/A,7700000,N/A,maison,500,7,5,3,,N/A,Oui,Non,Non,Oui,Non,Non,Rabat,success
7628949,https://www.mubawab.ma/fr/a/7628949/villa-sur-l-avenue-mohamed-6-ideal-investisseur,N/A,7300000,N/A,villa,492,5,3,4,,30-50 ans,Oui,Non,Non,Oui,Oui,Non,"Aviation - Mabella à
							Rabat",success
7629143,https://www.mubawab.ma/fr/a/7629143/villa-de-3750m%C2%B2-souissi,N/A,N/A,N/A,villa,3750,8,5,4,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7634000,https://www.mubawab.ma/fr/a/7634000/appart-de-194m2-pour-habitation-ou-commercial,N/A,4000000,N/A,N/A,194,3,3,2,,10-20 ans,Non,Non,Non,Non,Oui,Non,"Agdal à
							Rabat",success
7643066,https://www.mubawab.ma/fr/a/7643066/appartement-avendre-5-pi%C3%A8ces-ahayriad,N/A,2450000,N/A,appartement,135,5,4,3,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7644885,https://www.mubawab.ma/fr/a/7644885/villa-comme-un-palais-%C3%A0-souissi-ambassadeurs,N/A,110000000,N/A,villa,4000,12,7,9,,1-5 ans,Oui,Oui,Non,Non,Non,Non,"Quartier Des Ambassades à
							Rabat",success
7649696,https://www.mubawab.ma/fr/a/7649696/villa-a-usage-professionnel-%C3%A0-agdal-rabat,N/A,27500,N/A,villa,325,10,7,3,,20-30 ans,Oui,Non,Non,Oui,Oui,Non,"Haut Agdal à
							Rabat",success
7650484,https://www.mubawab.ma/fr/a/7650484/maison-de-haut-standing-%C3%A0-vendre-%C3%A0-riyad-3-belles-chambres-salon-traditionnel-et-syst%C3%A8me-d-antenne-parabolique,N/A,N/A,N/A,maison,300,4,3,3,,N/A,Non,Non,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
7656826,https://www.mubawab.ma/fr/a/7656826/maison-traditionnelle-%C3%A0-hassan,N/A,2800000,N/A,maison,155,5,2,1,,N/A,Non,Non,Non,Non,Non,Non,Rabat,success
7656847,https://www.mubawab.ma/fr/a/7656847/une-jolie-villa-moderne-avec-piscine-%C3%A0-guy-ville,N/A,7100000,N/A,villa,623,10,5,5,,N/A,Oui,Oui,Non,Oui,Oui,Non,Rabat,success
7656854,https://www.mubawab.ma/fr/a/7656854/appartement-avec-terrasse,N/A,2200000,N/A,appartement,189,3,2,1,,N/A,Non,Non,Non,Oui,Oui,Oui,"Agdal à
							Rabat",success
7657487,https://www.mubawab.ma/fr/a/7657487/villa-contemporaine-hay-ryad-baisse-de-prix,N/A,10500000,N/A,villa,983,N/A,3,4,,N/A,Oui,Oui,Oui,Non,Oui,Non,Rabat,success
7661653,https://www.mubawab.ma/fr/a/7661653/exceptionnel,N/A,28000000,N/A,N/A,5000,5,5,N/A,,N/A,Non,Oui,Non,Non,Non,Non,Rabat,success
7667963,https://www.mubawab.ma/fr/a/7667963/appartement-en-vente-%C3%A0-hay-riad,N/A,2450000,N/A,appartement,91,3,2,2,,N/A,Non,Oui,Non,Non,Oui,Non,"Riyad à
							Rabat",success
7670282,https://www.mubawab.ma/fr/a/7670282/guich-el-oudayas-id%C3%A9al-pour-les-professions-lib%C3%A9rales,N/A,890000,N/A,N/A,60,3,2,1,,10-20 ans,Non,Non,Non,Non,Non,Non,"Guich Oudaya à
							Rabat",success
7676841,https://www.mubawab.ma/fr/a/7676841/appartement-%C3%A0-vendre-%C3%A0-l%E2%80%99agdal,N/A,1700000,N/A,appartement,159,3,2,2,,10-20 ans,Non,Non,Non,Non,Non,Oui,"Agdal à
							Rabat",success
7680783,https://www.mubawab.ma/fr/a/7680783/hay-ryad-secteur-15,N/A,5200000,N/A,N/A,298,N/A,N/A,N/A,,N/A,Non,Non,Non,Non,Oui,Non,Rabat,success
7680785,https://www.mubawab.ma/fr/a/7680785/hay-ryad-%E2%80%93-investissement-locatif,N/A,6300000,N/A,N/A,460,N/A,N/A,N/A,,N/A,Non,Non,Non,Oui,Oui,Non,Rabat,success
7683881,https://www.mubawab.ma/fr/a/7683881/exceptionnel-penthouse-haut-standing-hay-riad,N/A,10000000,N/A,N/A,700,7,4,3,,10-20 ans,Non,Oui,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7684526,https://www.mubawab.ma/fr/a/7684526/vente-appartement-rabat-haut-agdal,N/A,3200000,N/A,appartement,182,6,3,2,,N/A,Non,Non,Oui,Oui,Oui,Oui,"Haut Agdal à
							Rabat",success
7687367,https://www.mubawab.ma/fr/a/7687367/belle-villa-en-vente,N/A,6000000,N/A,villa,280,N/A,4,1,,N/A,Oui,Oui,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7688205,https://www.mubawab.ma/fr/a/7688205/tr%C3%A8s-belle-villa-quartier-de-l-aviation-%C3%A0-vendre,N/A,5200000,N/A,villa,380,8,4,3,,10-20 ans,Oui,Non,Oui,Oui,Oui,Non,"Aviation - Mabella à
							Rabat",success
7692671,https://www.mubawab.ma/fr/a/7692671/appartement-%C3%A0-vendre-%C3%A0-l-agdal,N/A,1600000,N/A,appartement,82,2,2,2,,N/A,Non,Non,Non,Non,Oui,Oui,"Agdal à
							Rabat",success
7698817,https://www.mubawab.ma/fr/a/7698817/appartement-a-vendre-%C3%A0-agdal,N/A,2600000,N/A,appartement,158,3,3,2,,5-10 ans,Non,Non,Non,Non,Oui,Oui,"Agdal à
							Rabat",success
7712649,https://www.mubawab.ma/fr/a/7712649/terrain-d-un-riad-non-titr%C3%A9-%D9%85%D9%84%D9%83%D9%8A%D8%A9%C3%A0-vendre-%C3%A0-m%C3%A9dina-de-rabat-%D8%A3%D8%B1%D8%B6-%D9%85%D9%86%D8%B2%D9%84-%D9%82%D8%AF%D9%8A%D9%85,N/A,7000,N/A,terrain,232,3,4,2,,Plus de 100 ans,Non,Oui,Non,Oui,Non,Non,"Médina à
							Rabat",success
7712963,https://www.mubawab.ma/fr/a/7712963/villa-standing-neuve-a-vendre-bir-kacem,N/A,23000000,N/A,villa,1700,8,5,6,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7712973,https://www.mubawab.ma/fr/a/7712973/villa-de-luxe-a-vendre-a-souissi,N/A,16500000,N/A,villa,1900,10,5,5,,N/A,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7713455,https://www.mubawab.ma/fr/a/7713455/appartement-%C3%A0-vendre-rabat-agdal,N/A,2200000,N/A,appartement,104,4,3,2,,10-20 ans,Non,Non,Oui,Non,Oui,Oui,"Agdal à
							Rabat",success
7713545,https://www.mubawab.ma/fr/a/7713545/vente-villa-de-2-niveaux-au-secteur-18-hay-riad,N/A,7600000,N/A,villa,672,8,5,5,,10-20 ans,Non,Non,Non,Non,Non,Non,"Riyad à
							Rabat",success
7714417,https://www.mubawab.ma/fr/a/7714417/appartement-standing-a-vendre-a-clos-des-pins,N/A,4400000,N/A,appartement,168,5,3,3,,1-5 ans,Oui,Non,Oui,Oui,Oui,Oui,"Haut Agdal à
							Rabat",success
7714584,https://www.mubawab.ma/fr/a/7714584/villa-standing-neuve-a-vendre-a-souissi,N/A,15000000,N/A,villa,1850,7,4,5,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
7717891,https://www.mubawab.ma/fr/a/7717891/bel-appartement-pour-l-achat-sur-agdal,N/A,1650000,N/A,appartement,89,3,2,1,,N/A,Non,Non,Non,Oui,Oui,Oui,"Agdal à
							Rabat",success
7717981,https://www.mubawab.ma/fr/a/7717981/appartement-%C3%A0-vendre-%C3%A0-hay-riad,N/A,4000000,N/A,appartement,192,5,3,3,,10-20 ans,Non,Non,Oui,Non,Oui,Oui,"Riyad à
							Rabat",success
7722893,https://www.mubawab.ma/fr/a/7722893/luxueuse-villa-%C3%A0-vendre-%C3%A0-basatine-el-menzeh,N/A,9000000,N/A,villa,750,9,6,4,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Oui,"Souissi à
							Rabat",success
7723812,https://www.mubawab.ma/fr/a/7723812/appartement-rdc-180m-haut-agdal,N/A,2600000,N/A,appartement,180,4,2,2,,N/A,Non,Non,Non,Oui,Oui,Oui,"Haut Agdal à
							Rabat",success
7724642,https://www.mubawab.ma/fr/a/7724642/un-appartement-exceptionnel-%C3%A0-hay-riad,N/A,2850000,N/A,appartement,165,5,3,3,,N/A,Non,Non,Non,Non,Oui,Oui,"Riyad à
							Rabat",success
7728890,https://www.mubawab.ma/fr/a/7728890/vente-villa-de-luxe-%C3%A0-riyad-9-pi%C3%A8ces-confortables-jardin-et-terrasse,N/A,8200000,N/A,villa,700,9,5,5,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7731191,https://www.mubawab.ma/fr/a/7731191/vente-villa-rabat-hay-riad,N/A,7000000,N/A,villa,400,15,4,4,,20-30 ans,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7731701,https://www.mubawab.ma/fr/a/7731701/rare-dernier-etage-terrasse-4-chambres,N/A,5200000,N/A,N/A,310,N/A,4,3,,N/A,Non,Non,Non,Oui,Oui,Non,Rabat,success
7731987,https://www.mubawab.ma/fr/a/7731987/appartement-%C3%A0-vendre-%C3%A0-l-ocean-surface-de-158-m%C2%B2-belle-terrasse,N/A,1500000,N/A,appartement,158,3,3,2,,10-20 ans,Non,Non,Non,Oui,Oui,Non,"L'Ocean à
							Rabat",success
7732448,https://www.mubawab.ma/fr/a/7732448/villa-a-vendre-1025m-a-aviation-mabella-a-r%C3%A9nover,N/A,7700000,N/A,villa,1025,2,3,1,,30-50 ans,Oui,Non,Non,Non,Oui,Non,"Aviation - Mabella à
							Rabat",success
7739303,https://www.mubawab.ma/fr/a/7739303/coquette-villa-avec-piscine-%C3%A0-souissi,N/A,14000000,N/A,villa,1437,11,5,2,,N/A,Non,Oui,Non,Non,Non,Non,"Souissi à
							Rabat",success
7742562,https://www.mubawab.ma/fr/a/7742562/bel-appartement-sans-vis-a-vis-a-hay-riad,N/A,4700000,N/A,appartement,198,5,3,2,,N/A,Non,Non,Non,Oui,Oui,Oui,Rabat,success
7751059,https://www.mubawab.ma/fr/a/7751059/duplex-%C3%A0-vendre-%C3%A0-l%E2%80%99agdal,N/A,5300000,N/A,N/A,306,6,4,3,,N/A,Non,Non,Oui,Oui,Oui,Oui,"Agdal à
							Rabat",success
7751439,https://www.mubawab.ma/fr/a/7751439/vente-appartement-rabat-hassan,N/A,2900000,N/A,appartement,112,4,3,2,,N/A,Non,Non,Oui,Non,Oui,Oui,"Hassan - Centre Ville à
							Rabat",success
7751448,https://www.mubawab.ma/fr/a/7751448/vente-appartement-rabat-agdal,N/A,2912500,N/A,appartement,233,5,2,2,,N/A,Non,Non,Non,Oui,Oui,Oui,"Agdal à
							Rabat",success
7751764,https://www.mubawab.ma/fr/a/7751764/vente-appartement-rabat-agdal,N/A,3500000,N/A,appartement,176,5,3,2,,N/A,Non,Non,Oui,Non,Oui,Oui,"Agdal à
							Rabat",success
7751799,https://www.mubawab.ma/fr/a/7751799/vente-villa-rabat-mabella,N/A,5000000,N/A,villa,360,11,6,2,,N/A,Oui,Non,Non,Oui,Oui,Non,"El Youssoufia à
							Rabat",success
7751881,https://www.mubawab.ma/fr/a/7751881/vente-villa-rabat-aviation,N/A,4700000,N/A,villa,240,8,5,2,,N/A,Oui,Non,Oui,Oui,Non,Non,"Aviation - Mabella à
							Rabat",success
7751895,https://www.mubawab.ma/fr/a/7751895/vente-riad-rabat-la-m%C3%A9dina,N/A,7500000,N/A,N/A,600,17,9,4,,N/A,Non,Non,Oui,Oui,Non,Non,"Médina à
							Rabat",success
7751922,https://www.mubawab.ma/fr/a/7751922/vente-riad-rabat-marassa,N/A,8200000,N/A,N/A,511,18,10,4,,N/A,Oui,Non,Oui,Oui,Oui,Non,"Médina à
							Rabat",success
7752798,https://www.mubawab.ma/fr/a/7752798/maison-proche-de-la-c%C3%B4te-routi%C3%A8re-de-rabat,N/A,1480000,N/A,maison,105,10,6,2,,10-20 ans,Non,Non,Non,Oui,Oui,Non,"Akkari à
							Rabat",success
