id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
,https://www.avito.ma/fr/aakkari/appartements/bel_appartement_%C3%A0_vendre__55331698.htm,bel appartement à vendre,,"Aakkari, Rabat","Appartements, à vendre",,3,2,,bel appartement à vendre 2 chambres à coucher 1 avec balcon cuisine avec balcon 2 salles de bain un grand salon et séjour quartier calme et sécurisé près de toutes les commodités et tramway. pour plus d'information prière de nous contacter. occasion à ne pas rater.,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/bel_appartement_au_Centre_akkari_55534546.htm,bel appartement au Centre akkari,1500000,"Aakkari, Rabat","Appartements, à vendre",,,,,"je met en vente ce bel appartement situé au centre akkari près du station tramway, souk et corniche rabat.",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/vendre_maison_avec_local_commercial__55408536.htm,vendre maison avec local commercial,900000,"Aakkari, Rabat","Appartements, à vendre",,,,,"bonjour je vends une maison à kebibate maison traditionnelle beldi avec un local commercial
près de tramway Gare de train marché 10mn centre ville a pieds",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/vendre_maison_avec_local_commercial__55653749.htm,vendre maison avec local commercial,950000,"Aakkari, Rabat","Appartements, à vendre",,6,5,,bonjour vendre maison avec local commercial a rabat près de tramway Gare taxi bus zone commerciale 5 chambre avec local commercial aussi la cave,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/%D9%85%D9%86%D8%B2%D9%84_%D9%85%D8%B3%D8%A7%D8%AD%D8%A9_102__55209260.htm,منزل مساحة 102,850000,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"مساحة 102 متر مكعب
منزل بالطابق الاول ثم سطحين بطابق الموالي",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/%D9%85%D9%86%D8%B2%D9%84_%D9%85%D8%B3%D8%AA%D9%82%D9%84_%D8%A7%D9%84%D8%A8%D9%8A%D8%B9_55583647.htm,منزل مستقل البيع,,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,منزل للبيع تقليدي (يمكن اعادة بناءه),,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_%C3%A0_vendre_55715781.htm,Maison à vendre,1402500,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"الإعلان عن بيع عقار بالمزاد العلني الكائن ب 35 ديور البنك رقم 35 زنقة عبد الكريم بوريشة الرباط مساحته 115م مربع
العقار محفظ ومسجل بالمحافظة العقارية بالرباط حسان تحت عدد ر/49235
العقار معروف باسم دار مزهار مكون من أرض بها بناية من من طابق سفلي وطابق علوي والسطح لا وجود للمكتري به
الثمن الافتتاحي للبيع بالمزاد العلني 1,402,500,00درهم
للمزيد من المعلومات يمكن الاتصال بمصلحة التنفيذ بالمحكمة الابتدائية بالرباط",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_%C3%A0_vendre_akkari_55747604.htm,Maison à vendre akkari,1402500,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"الإعلان عن عقار للبيع وهو عبارة عن بناية مكونة من طابق سفلي وطابق علوي والسطح.
المنزل يقع ب 35 زنقة عبد الكريم بريشة ديور البنك العكاري الرباط
لا وجود للمكترين به
المساحة 115م مربع.",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_%C3%A1_Findeq_55244834.htm,Maison á Findeq,450000,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,Maison trés proche au Fnieq avec un trés belle vue sur Ceuta et la mèr.,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_Akkari_Rabat__56193055.htm,Maison Akkari Rabat,,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"Maison titrée
Grande maison traditionnelle à vendre située au quartier Akkari Rabat
Superficie de 160 m2 disposant de 2 niveaux et un patio central lumineux
A proximité du grand marché traditionnel de Akkari, du tramway et de tous types de transports
A rénover possibilité construction R2 pour un espace de vie projet commercial
Pour plus d'informations Veuillez me contacter",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_en_Cours_de_Construction_R2_55597856.htm,Maison en Cours de Construction R2,1500000,"Aakkari, Rabat","Maisons et Villas, à vendre",61,,,,"Profitez d'une occasion unique d'acquérir cette maison en cours de construction d'une superficie de 61 m², située dans le quartier dynamique d'Akkari. Cette propriété inclut également un garage commercial, offrant une flexibilité pour les professionnels ou pour un espace de rangement.

Superficie de la maison : 61 m²
Garage commercial : Inclus
Localisation : Quartier d'Akkari, Rabat
État : En cours de construction 80%

Proximité des commerces et des transports en commun : Facilite la vie quotidienne.
Personnalisation possible : Vous avez la possibilité de choisir les finitions intérieures selon vos goûts.
Garage commercial : Parfait pour une activité professionnelle ou du stockage.",,false,false,false,false,true,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_traditionnelle_%C3%A0_vendre___Akkari__Rabat__56343549.htm,"Maison traditionnelle à vendre – Akkari, Rabat",700000,"Aakkari, Rabat","Maisons et Villas, à vendre",70,3,2,,"À vendre, belle maison traditionnelle de 70 m² située au cœur de Rabat, dans le quartier calme et central d’Akkari.
Proche de toutes les commodités (marché, écoles, transport, etc.), cette maison offre un grand potentiel d’aménagement.

✨ Caractéristiques :

Superficie : 70 m²
2 grands salons lumineux
2 chambres spacieuses
Cuisine et salle de bain
Toit accessible avec possibilité de construire un 2ème étage
Idéal pour transformer en Riad ou maison d’hôtes
💡 Atout majeur :
Emplacement stratégique, parfait pour un projet immobilier (habitation, investissement locatif, ou transformation en Riad traditionnel avec charme).",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/maison_avec_local_commercial__55655172.htm,maison avec local commercial,950000,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,vente maison avec local commercial a rabat près de tramway Gare taxi bus zone commerciale près hôpital Moulay Youssef la maison avec Local commercial et aussi la cave,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/maison_avec_local_commercial__55704203.htm,maison avec local commercial,950000,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,vente maison baldiya avec local commercial a Rabat akkari aussi une cave près de tramway bus Taxi hospital Moulay Youssef,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/maison_avec_local_commercial__55704566.htm,maison avec local commercial,950000,"Aakkari, Rabat","Maisons et Villas, à vendre",,5,4,,vente maison avec local commercial a akkari rabat zone commerciale près de tramway bus Taxi la maison baldiya 4 chambre une cave,,false,false,false,false,false,false,Aakkari,à vendre
