type,area,property_state,rooms,bedrooms,bathrooms,jardin,piscine,cuisine_equiped,terrasse,garage,quartier,price_de_m2,price
villa,811.0,20-30 ans,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Riyad,11960.542540073982,9700000.0
villa,929.0,10-20 ans,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Riyad,10441.334768568353,9700000.0
,150.0,30-50 ans,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,Agdal,16000.0,2400000.0
appartement,50.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Agdal,26000.0,1300000.0
,340.0,10-20 ans,8.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,Médina,8970.588235294117,3050000.0
villa,840.0,,10.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,Riyad,11309.52380952381,9500000.0
villa,4173.0,,7.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,Souissi,4792.715073088905,20000000.0
appartement,91.0,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,Souissi,26923.076923076922,2450000.0
,231.0,10-20 ans,7.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,Agdal,17489.177489177488,4040000.0
villa,443.0,10-20 ans,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Riyad,19187.358916478555,8500000.0
appartement,129.0,,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Agdal,16279.06976744186,2100000.0
,233.0,1-5 ans,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,Souissi,29613.7339055794,6900000.0
appartement,90.0,Moins d'un an,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,Hassan - Centre Ville,20000.0,1800000.0
appartement,94.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,Agdal,18085.106382978724,1700000.0
appartement,75.0,,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,Agdal,22666.666666666668,1700000.0
appartement,140.0,20-30 ans,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Kébibat,10357.142857142857,1450000.0
,75.0,,5.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,Médina,46000.0,3450000.0
appartement,160.0,5-10 ans,4.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,Souissi,30000.0,4800000.0
,168.0,20-30 ans,5.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,Agdal,11309.52380952381,1900000.0
